,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9023354564755839,0.9487750556792873,0.9023354564755839,0.6617647058823529,0.9023354564755839,0.7174491392801252
CAD,0.8777292576419214,0.5824738178356078,0.8777292576419214,0.5831279809220985,0.8777292576419214,0.5827948023069974
CHF,0.8995433789954338,0.600547138047138,0.8995433789954338,0.6043526112117016,0.8995433789954338,0.6021928641090893
Depression,0.8846960167714885,0.8983812949640287,0.8846960167714885,0.7551843317972351,0.8846960167714885,0.7984790874524714
Diabetes,0.8956158663883089,0.8789547373260334,0.8956158663883089,0.872999712040808,0.8956158663883089,0.8758810116086235
GERD,0.8615023474178404,0.5877912036755925,0.8615023474178404,0.4700971315336387,0.8615023474178404,0.4974323062558357
Gallstones,0.8574338085539714,0.8863082811412666,0.8574338085539714,0.5675334549878346,0.8574338085539714,0.5802393746946751
Gout,0.922,0.9225089256734826,0.922,0.6944434071473916,0.922,0.7545039090531405
Hypercholesterolemia,0.8631090487238979,0.8606727484975571,0.8631090487238979,0.8647732738641829,0.8631090487238979,0.861919733276861
Hypertension,0.9103139013452914,0.8910287081339713,0.9103139013452914,0.8112938039614017,0.9103139013452914,0.8430295991271601
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8506493506493507,0.5506379585326954,0.8506493506493507,0.4533640746174806,0.8506493506493505,0.476873476448848
OSA,0.9171717171717172,0.6374643874643874,0.9171717171717172,0.4696969696969697,0.9171717171717172,0.5116117018081336
Obesity,0.9284116331096197,0.9352854122621564,0.9284116331096197,0.9205269607843137,0.9284116331096197,0.9258552767986731
PVD,0.9311827956989247,0.6333203833203833,0.9311827956989247,0.5119850909324594,0.9311827956989247,0.551473987978508
Venous Insufficiency,0.936768149882904,0.8442671394799055,0.936768149882904,0.5504678565239993,0.936768149882904,0.5744657291551323
overall,0.8994458710636573,0.6033586501816377,0.8994458710636573,0.5724945295404814,0.8994458710636573,0.5845517745593928
