,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9129511677282378,0.9538288288288288,0.9129511677282378,0.6985294117647058,0.9129511677282378,0.7600074566581744,100.0
CAD,0.87117903930131,0.5784350878592656,0.87117903930131,0.5777225755166931,0.87117903930131,0.5780206435944141,0.1
CHF,0.8995433789954338,0.600547138047138,0.8995433789954338,0.6043526112117016,0.8995433789954338,0.6021928641090893,1.0
Depression,0.8867924528301887,0.8891150112023899,0.8867924528301887,0.7667818740399386,0.8867924528301887,0.8067376950780312,10.0
Diabetes,0.8956158663883089,0.8768460241062981,0.8956158663883089,0.8768460241062981,0.8956158663883089,0.8768460241062981,100.0
GERD,0.863849765258216,0.5892432175154688,0.863849765258216,0.4736813609243197,0.863849765258216,0.5013325689403945,100.0
Gallstones,0.8615071283095723,0.8940551063192572,0.8615071283095723,0.5800334549878345,0.8615071283095724,0.6000095840521372,10.0
Gout,0.934,0.9131944444444444,0.934,0.7577392733111767,0.934,0.8116244819673254,100.0
Hypercholesterolemia,0.8631090487238979,0.8606727484975571,0.8631090487238979,0.8647732738641829,0.8631090487238979,0.861919733276861,1.0
Hypertension,0.9080717488789237,0.8805020566639756,0.9080717488789237,0.8141823260538343,0.9080717488789237,0.8415355951297716,100.0
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01
OA,0.8614718614718615,0.5542894927034799,0.8614718614718615,0.4771885698316216,0.8614718614718614,0.5002863688430699,100.0
OSA,0.9272727272727272,0.6313131313131314,0.9272727272727272,0.494949494949495,0.9272727272727272,0.5356981892414964,100.0
Obesity,0.930648769574944,0.9370385215813679,0.930648769574944,0.9231311274509804,0.930648769574944,0.9282336794675919,10.0
PVD,0.9311827956989247,0.6257036032704713,0.9311827956989247,0.516277874172611,0.9311827956989247,0.5534294020389133,100.0
Venous Insufficiency,0.936768149882904,0.8036421219319081,0.936768149882904,0.5664529544273089,0.936768149882904,0.5978021978021978,100.0
overall,0.902419245844033,0.6039827879726155,0.902419245844033,0.5763480213383675,0.902419245844033,0.5874096764993584,
