,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9940476190476191,0.912410149674719,0.9940476190476191,0.9951661220043573,0.9940476190476191,0.9454544679980915,gini
CAD,0.7907444668008048,0.7422953164402744,0.7907444668008048,0.8258403213599191,0.7907444668008048,0.7756799921107043,entropy
CHF,0.8971774193548387,0.7397030994068349,0.8971774193548387,0.8141246964417697,0.8971774193548387,0.7669204993947644,gini
Depression,0.9703557312252964,0.6427272297808012,0.9703557312252964,0.612668544120157,0.9703557312252964,0.6266386554621849,entropy
Diabetes,0.9184890656063618,0.951116191500807,0.9184890656063618,0.8110404339250493,0.9184890656063618,0.8682428148774303,gini
GERD,0.9742063492063492,0.4739274150026983,0.9742063492063492,0.4723282123372494,0.9742063492063492,0.4731128153007484,entropy
Gallstones,0.9566074950690335,0.7989714963399174,0.9566074950690335,0.76804341051165,0.9566074950690335,0.7821240852473424,entropy
Gout,0.9881188118811881,0.6416818519268408,0.9881188118811881,0.6565772343918039,0.9881188118811881,0.6488730477789059,gini
Hypercholesterolemia,0.9183266932270916,0.8600498338870431,0.9183266932270916,0.7130218587510727,0.9183266932270916,0.7645604051820092,entropy
Hypertension,0.9321357285429142,0.6433921832884096,0.9321357285429142,0.5861084103062713,0.9321357285429142,0.6084383696185955,gini
Hypertriglyceridemia,0.9842209072978304,0.7886363636363636,0.9842209072978304,0.8449698189134809,0.9842209072978304,0.8141495601173021,gini
OA,0.9561752988047809,0.9168554476806904,0.9561752988047809,0.9320494186046512,0.9561752988047809,0.9242149758454106,entropy
OSA,0.9940357852882704,0.9897045855379188,0.9940357852882704,0.8277308105206655,0.9940357852882704,0.8809230393463007,gini
Obesity,0.9553752535496958,0.47885759857307014,0.9553752535496958,0.4833761490335885,0.9553752535496958,0.4811039843499788,gini
PVD,0.9743589743589743,0.6304059622344047,0.9743589743589743,0.6256936606471031,0.9743589743589743,0.6280312590723,gini
Venous Insufficiency,0.9783037475345168,0.7332533013205282,0.9783037475345168,0.8909456740442656,0.9783037475345168,0.7907238545536418,entropy
overall,0.9491546494281452,0.8134840354638895,0.9491546494281452,0.7602025642680875,0.9491546494281452,0.7820782688485984,
